block_index,mac,rssi_header_raw,rssi_val_raw,rssi_val,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,azimuth,elevation,euler_ts_ms,pitch,roll,yaw,gps_ts_ms,gps_lon_raw,gps_lat_raw,gps_alt_raw,quat_w,quat_x,quat_y,quat_z,vel_ts_ms,vel_x,vel_y,vel_z,time_consumed,lon_deg,lat_deg,alt_m,lon_deg_diff,lat_deg_diff,alt_m_diff,lat_m_diff,lon_m_diff,distance_from_takeoff,distance,vel_abs,earth_azimuth,device_name,phone_rel_azimuth,phone_rel_elevation,phone_drone_lat_m_diff,phone_drone_lon_m_diff,phone_drone_alt_m_diff,phone_drone_distance,score
993,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-89	-91	-88	-87	-88	-89	-127	-127	-79	-82,"[-89, -91, -88, -87, -88, -89, -127, -127, -79, -82]",-89,-91,-88,-87,-88,-89,-127,-127,-79,-82,1,30,902739,8.310079,-5.441701,-122.906641,902739,1142767069,224029341,156628,0.479171,0.040941,0.076173,-0.873451,902739,-0.441443,-0.720539,0.005922,0.0425052642822265,114.2767069,22.4029341,156.628,-0.000372800000008,-0.0001950999999991,39.38799999999999,-21.65609999990181,-38.257646932671086,59.02583129470236,83.54672406886067,0.8450345808628189,236.093359,IP15,222.91845128959088,28.12838025943428,-53.95709999998033,-50.172421889225824,-39.38799999999999,83.54672406886067,0.9793639174621622
994,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-91	-94	-127	-127	-87	-89	-90	-90	-78	-86,"[-91, -94, -127, -127, -87, -89, -90, -90, -78, -86]",-91,-94,-127,-127,-87,-89,-90,-90,-78,-86,0,29,902739,8.310079,-5.441701,-122.906641,902739,1142767069,224029341,156628,0.479171,0.040941,0.076173,-0.873451,902739,-0.441443,-0.720539,0.005922,0.0388040542602539,114.2767069,22.4029341,156.628,-0.000372800000008,-0.0001950999999991,39.38799999999999,-21.65609999990181,-38.257646932671086,59.02583129470236,83.54672406886067,0.8450345808628189,237.093359,IP15,222.91845128959088,28.12838025943428,-53.95709999998033,-50.172421889225824,-39.38799999999999,83.54672406886067,0.9763996267017514
995,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-83	-87	-82	-87	-90	-91	-77	-88,"[-127, -127, -83, -87, -82, -87, -90, -91, -77, -88]",-127,-127,-83,-87,-82,-87,-90,-91,-77,-88,0,29,902939,3.585214,-5.549897,-122.628604,902739,1142767069,224029341,156628,0.480604,0.004178,0.057444,-0.875044,902739,-0.441443,-0.720539,0.005922,0.0631847381591796,114.2767069,22.4029341,156.628,-0.000372800000008,-0.0001950999999991,39.38799999999999,-21.65609999990181,-38.257646932671086,59.02583129470236,83.54672406886067,0.8450345808628189,237.371396,IP15,222.91845128959088,28.12838025943428,-53.95709999998033,-50.172421889225824,-39.38799999999999,83.54672406886067,0.975474238318944
996,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-81	-83	-80	-85	-88	-91	-77	-84,"[-127, -127, -81, -83, -80, -85, -88, -91, -77, -84]",-127,-127,-81,-83,-80,-85,-88,-91,-77,-84,359,28,903139,1.277457,-5.601566,-122.465201,902939,1142767055,224029333,156649,0.481197,-0.013757,0.048184,-0.875179,902939,-0.283739,-0.489896,0.009349,0.0414464473724365,114.2767055,22.4029333,156.649,-0.0003741999999959,-0.0001958999999978,39.409000000000006,-21.744899999756484,-38.40131857334576,59.1656253678688,83.41306179091764,0.5662096031841918,238.534799,IP15,222.8835786873992,28.193838086571187,-53.86830000012566,-50.02875024855115,-39.409000000000006,83.41306179091764,0.9711403891146012
997,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-89	-93	-79	-84	-82	-87	-85	-94	-74	-85,"[-89, -93, -79, -84, -82, -87, -85, -94, -74, -85]",-89,-93,-79,-84,-82,-87,-85,-94,-74,-85,359,28,903139,1.277457,-5.601566,-122.465201,902939,1142767055,224029333,156649,0.481197,-0.013757,0.048184,-0.875179,902939,-0.283739,-0.489896,0.009349,0.0451662540435791,114.2767055,22.4029333,156.649,-0.0003741999999959,-0.0001958999999978,39.409000000000006,-21.744899999756484,-38.40131857334576,59.1656253678688,83.41306179091764,0.5662096031841918,238.534799,IP15,222.8835786873992,28.193838086571187,-53.86830000012566,-50.02875024855115,-39.409000000000006,83.41306179091764,0.9711403891146012
998,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-89	-94	-80	-91	-84	-94	-86	-95	-74	-89,"[-89, -94, -80, -91, -84, -94, -86, -95, -74, -89]",-89,-94,-80,-91,-84,-94,-86,-95,-74,-89,0,30,903139,1.277457,-5.601566,-122.465201,903139,1142767045,224029327,156670,0.481197,-0.013757,0.048184,-0.875179,903139,-0.215592,-0.377514,0.013003,0.0444700717926025,114.2767045,22.4029327,156.67,-0.0003752000000076,-0.0001964999999977,39.42999999999999,-21.81149999974608,-38.50394118483867,59.27073408525019,83.31846160207515,0.4349319586659504,237.534799,IP15,222.86025888098348,28.245108123017022,-53.80170000013607,-49.92612763705824,-39.42999999999999,83.31846160207515,0.9746452143535814
999,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-87	-93	-79	-87	-82	-90	-85	-93	-73	-87,"[-87, -93, -79, -87, -82, -90, -85, -93, -73, -87]",-87,-93,-79,-87,-82,-90,-85,-93,-73,-87,359,29,903339,1.040221,-5.358798,-122.464395,903139,1142767045,224029327,156670,0.481156,-0.014551,0.045335,-0.875341,903139,-0.215592,-0.377514,0.013003,0.0454375743865966,114.2767045,22.4029327,156.67,-0.0003752000000076,-0.0001964999999977,39.42999999999999,-21.81149999974608,-38.50394118483867,59.27073408525019,83.31846160207515,0.4349319586659504,238.53560500000003,IP15,222.86025888098348,28.245108123017022,-53.80170000013607,-49.92612763705824,-39.42999999999999,83.31846160207515,0.9712575964912146
1000,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-83	-89	-84	-94	-89	-96	-75	-88,"[-127, -127, -83, -89, -84, -94, -89, -96, -75, -88]",-127,-127,-83,-89,-84,-94,-89,-96,-75,-88,0,30,903339,1.040221,-5.358798,-122.464395,903339,1142767037,224029323,156686,0.481156,-0.014551,0.045335,-0.875341,903339,-0.175292,-0.300029,0.007177,0.0493271350860595,114.2767037,22.4029323,156.686,-0.0003760000000028,-0.0001968999999988,39.44600000000001,-21.855899999870587,-38.58603925100316,59.35107164899637,83.24819219151472,0.3475574706922583,237.535605,IP15,222.83682951632517,28.28359663606454,-53.757300000011554,-49.84402957089375,-39.44600000000001,83.24819219151472,0.9745927610502187
1001,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-80	-84	-127	-127	-86	-91	-127	-127,"[-127, -127, -80, -84, -127, -127, -86, -91, -127, -127]",-127,-127,-80,-84,-127,-127,-86,-91,-127,-127,240,30,903539,2.260797,-5.168733,-122.566882,903339,1142767037,224029323,156686,0.480744,-0.00438,0.049002,-0.87548,903339,-0.175292,-0.300029,0.007177,0.040729284286499,114.2767037,22.4029323,156.686,-0.0003760000000028,-0.0001968999999988,39.44600000000001,-21.855899999870587,-38.58603925100316,59.35107164899637,83.24819219151472,0.3475574706922583,357.433118,IP15,222.83682951632517,28.28359663606454,-53.757300000011554,-49.84402957089375,-39.44600000000001,83.24819219151472,-0.2985320432915129
1002,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-80	-88	-83	-94	-86	-94	-73	-87,"[-127, -127, -80, -88, -83, -94, -86, -94, -73, -87]",-127,-127,-80,-88,-83,-94,-86,-94,-73,-87,0,30,903539,2.260797,-5.168733,-122.566882,903339,1142767037,224029323,156686,0.480744,-0.00438,0.049002,-0.87548,903339,-0.175292,-0.300029,0.007177,0.0413575172424316,114.2767037,22.4029323,156.686,-0.0003760000000028,-0.0001968999999988,39.44600000000001,-21.855899999870587,-38.58603925100316,59.35107164899637,83.24819219151472,0.3475574706922583,237.433118,IP15,222.83682951632517,28.28359663606454,-53.757300000011554,-49.84402957089375,-39.44600000000001,83.24819219151472,0.9749377162577132
1003,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-87	-93	-82	-85	-127	-127	-86	-93	-75	-88,"[-87, -93, -82, -85, -127, -127, -86, -93, -75, -88]",-87,-93,-82,-85,-127,-127,-86,-93,-75,-88,359,29,903739,1.205418,-5.178675,-122.658154,903539,1142767031,224029319,156680,0.479748,-0.012456,0.044673,-0.87618,903539,-0.126816,-0.214869,0.010414,0.0442206859588623,114.2767031,22.4029319,156.68,-0.0003765999999956,-0.0001972999999999,39.44000000000001,-21.9002999999951,-38.64761282837812,59.40349078481839,83.17981817210531,0.2497187145830284,238.34184600000003,IP15,222.82512287144468,28.304247299621863,-53.71289999988704,-49.78245599351879,-39.44000000000001,83.17981817210531,0.9718597309220324
1004,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-84	-93	-88	-91	-127	-127	-78	-88,"[-127, -127, -84, -93, -88, -91, -127, -127, -78, -88]",-127,-127,-84,-93,-88,-91,-127,-127,-78,-88,0,30,903939,-0.423786,-4.597993,-122.773552,903739,1142767027,224029317,156679,0.478445,-0.022455,0.033441,-0.877193,903739,-0.063121,-0.108896,0.008792,0.0436584949493408,114.2767027,22.4029317,156.679,-0.0003770000000002,-0.0001974999999987,39.43900000000001,-21.92249999986018,-38.68866186257347,59.43772610018335,83.1404447533533,0.1261740810190428,237.226448,IP15,222.81336799094387,28.318078208086952,-53.69070000002196,-49.74140695932344,-39.43900000000001,83.1404447533533,0.9755741048961764
1005,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-84	-91	-88	-88	-127	-127	-79	-87,"[-127, -127, -84, -91, -88, -88, -127, -127, -79, -87]",-127,-127,-84,-91,-88,-88,-127,-127,-79,-87,0,30,904139,-0.734129,-4.625276,-122.747008,903939,1142767025,224029315,156708,0.47854,-0.024952,0.032348,-0.877115,903939,-0.029003,-0.035399,0.020347,0.0451800823211669,114.2767025,22.4029315,156.708,-0.0003772000000026,-0.0001976999999975,39.468,-21.94469999972526,-38.70918640756583,59.47851708317568,83.12759508326087,0.0500825680152286,237.252992,IP15,222.813392409044,28.345559677686357,-53.66850000015688,-49.72088241433108,-39.468,83.12759508326087,0.9755063817959267
1006,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-84	-93	-127	-127	-127	-127	-81	-87,"[-127, -127, -84, -93, -127, -127, -127, -127, -81, -87]",-127,-127,-84,-93,-127,-127,-127,-127,-81,-87,1,30,904139,-0.734129,-4.625276,-122.747008,904139,1142767024,224029314,156712,0.47854,-0.024952,0.032348,-0.877115,904139,0.001628,-0.010993,0.016745,0.0496180057525634,114.2767024,22.4029314,156.712,-0.0003772999999966,-0.0001977999999986,39.472,-21.95579999985497,-38.71944867935498,59.49194604034092,83.1161904427712,0.0200970509776932,236.252992,IP15,222.8134046261751,28.352934143800617,-53.65740000002717,-49.71062014254193,-39.472,83.1161904427712,0.9787161436907308
1007,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-82	-91	-127	-127	-127	-127	-81	-87,"[-127, -127, -82, -91, -127, -127, -127, -127, -81, -87]",-127,-127,-82,-91,-127,-127,-127,-127,-81,-87,1,30,904339,-0.74868,-4.541917,-122.574287,904139,1142767024,224029314,156712,0.479875,-0.024763,0.031612,-0.876418,904139,0.001628,-0.010993,0.016745,0.0515577793121337,114.2767024,22.4029314,156.712,-0.0003772999999966,-0.0001977999999986,39.472,-21.95579999985497,-38.71944867935498,59.49194604034092,83.1161904427712,0.0200970509776932,236.425713,IP15,222.8134046261751,28.352934143800617,-53.65740000002717,-49.71062014254193,-39.472,83.1161904427712,0.978178792071524
1008,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-93	-82	-91	-86	-88	-88	-94	-127	-127,"[-92, -93, -82, -91, -86, -88, -88, -94, -127, -127]",-92,-93,-82,-91,-86,-88,-88,-94,-127,-127,240,30,904339,-0.74868,-4.541917,-122.574287,904139,1142767024,224029314,156712,0.479875,-0.024763,0.031612,-0.876418,904139,0.001628,-0.010993,0.016745,0.041558027267456,114.2767024,22.4029314,156.712,-0.0003772999999966,-0.0001977999999986,39.472,-21.95579999985497,-38.71944867935498,59.49194604034092,83.1161904427712,0.0200970509776932,357.425713,IP15,222.8134046261751,28.352934143800617,-53.65740000002717,-49.71062014254193,-39.472,83.1161904427712,-0.2978020323277711
1009,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-93	-82	-91	-86	-88	-88	-94	-82	-90,"[-92, -93, -82, -91, -86, -88, -88, -94, -82, -90]",-92,-93,-82,-91,-86,-88,-88,-94,-82,-90,241,29,904539,-0.896199,-4.742019,-122.372194,904339,1142767023,224029314,156720,0.481324,-0.026786,0.032476,-0.875531,904339,0.021703,0.012545,0.012553,0.04241943359375,114.2767023,22.4029314,156.72,-0.0003774000000049,-0.0001977999999986,39.48,-21.95579999985497,-38.72971092475211,59.50393316368671,83.11385293600098,0.0280352464408644,356.627806,IP15,222.80750722073145,28.36007062871072,-53.65740000002717,-49.7003578971448,-39.48,83.11385293600098,-0.3026132319678783
1010,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-81	-94	-82	-90	-86	-91	-79	-86,"[-127, -127, -81, -94, -82, -90, -86, -91, -79, -86]",-127,-127,-81,-94,-82,-90,-86,-91,-79,-86,1,30,904539,-0.896199,-4.742019,-122.372194,904539,1142767023,224029315,156720,0.481324,-0.026786,0.032476,-0.875531,904539,0.044541,0.015921,-0.000204,0.0477740764617919,114.2767023,22.4029315,156.72,-0.0003774000000049,-0.0001976999999975,39.48,-21.94469999972526,-38.72971089688696,59.49983835469124,83.12101942433657,0.0473013798741643,236.627806,IP15,222.80159890979243,28.35740411556009,-53.66850000015688,-49.700357925009946,-39.48,83.12101942433657,0.9775071724034154
1011,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-83	-90	-84	-93	-87	-90	-80	-85,"[-127, -127, -83, -90, -84, -93, -87, -90, -80, -85]",-127,-127,-83,-90,-84,-93,-87,-90,-80,-85,0,30,904739,-0.885747,-5.009488,-122.277206,904739,1142767023,224029316,156722,0.48199,-0.027858,0.034541,-0.875052,904739,0.05113,0.017995,-0.005928,0.0452456474304199,114.2767023,22.4029316,156.722,-0.0003774000000049,-0.0001975999999999,39.48200000000001,-21.93359999998989,-38.729710869021815,59.497072507456906,83.12913665371696,0.0545274069528342,237.722794,IP15,222.79569191458933,28.355950900134527,-53.67959999989225,-49.700357952875095,-39.48200000000001,83.12913665371696,0.973870299680431
1012,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-83	-94	-86	-94	-87	-92	-82	-87,"[-127, -127, -83, -94, -86, -94, -87, -92, -82, -87]",-127,-127,-83,-94,-86,-94,-87,-92,-82,-87,0,30,904939,-1.041791,-5.06594,-122.258654,904739,1142767023,224029316,156722,0.482059,-0.029292,0.03431,-0.874976,904739,0.05113,0.017995,-0.005928,0.0420947074890136,114.2767023,22.4029316,156.722,-0.0003774000000049,-0.0001975999999999,39.48200000000001,-21.93359999998989,-38.729710869021815,59.497072507456906,83.12913665371696,0.0545274069528342,237.741346,IP15,222.79569191458933,28.355950900134527,-53.67959999989225,-49.700357952875095,-39.48200000000001,83.12913665371696,0.9738066962180169
1013,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-82	-94	-86	-92	-88	-92	-82	-89,"[-127, -127, -82, -94, -86, -92, -88, -92, -82, -89]",-127,-127,-82,-94,-86,-92,-88,-92,-82,-89,0,30,904939,-1.041791,-5.06594,-122.258654,904739,1142767023,224029316,156722,0.482059,-0.029292,0.03431,-0.874976,904739,0.05113,0.017995,-0.005928,0.0441253185272216,114.2767023,22.4029316,156.722,-0.0003774000000049,-0.0001975999999999,39.48200000000001,-21.93359999998989,-38.729710869021815,59.497072507456906,83.12913665371696,0.0545274069528342,237.741346,IP15,222.79569191458933,28.355950900134527,-53.67959999989225,-49.700357952875095,-39.48200000000001,83.12913665371696,0.9738066962180169
1014,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-91	-94	-84	-95	-88	-93	-89	-90	-127	-127,"[-91, -94, -84, -95, -88, -93, -89, -90, -127, -127]",-91,-94,-84,-95,-88,-93,-89,-90,-127,-127,240,30,905139,-0.933966,-5.356059,-122.207615,904939,1142767023,224029317,156727,0.482416,-0.029706,0.036966,-0.874658,904939,0.057444,0.02852,-0.010855,0.0425179004669189,114.2767023,22.4029317,156.727,-0.0003774000000049,-0.0001974999999987,39.48700000000001,-21.92249999986018,-38.72971084115667,59.496299692363046,83.13867943927237,0.0650464031365301,357.792385,IP15,222.78978623438863,28.35631714783101,-53.69070000002196,-49.70035798074024,-39.48700000000001,83.13867943927237,-0.3014421742151389
1015,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-91	-94	-84	-95	-88	-93	-89	-90	-81	-87,"[-91, -94, -84, -95, -88, -93, -89, -90, -81, -87]",-91,-94,-84,-95,-88,-93,-89,-90,-81,-87,1,30,905139,-0.933966,-5.356059,-122.207615,904939,1142767023,224029317,156727,0.482416,-0.029706,0.036966,-0.874658,904939,0.057444,0.02852,-0.010855,0.0435945987701416,114.2767023,22.4029317,156.727,-0.0003774000000049,-0.0001974999999987,39.48700000000001,-21.92249999986018,-38.72971084115667,59.496299692363046,83.13867943927237,0.0650464031365301,236.792385,IP15,222.78978623438863,28.35631714783101,-53.69070000002196,-49.70035798074024,-39.48700000000001,83.13867943927237,0.9769421951573182
1016,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-81	-87	-84	-90	-85	-91	-76	-85,"[-127, -127, -81, -87, -84, -90, -85, -91, -76, -85]",-127,-127,-81,-87,-84,-90,-85,-91,-76,-85,0,30,905539,-1.117936,-4.94005,-122.38341,905339,1142767025,224029320,156720,0.481111,-0.029307,0.03306,-0.875546,905339,0.043689,0.043861,-0.01079,0.045379638671875,114.2767025,22.402932,156.72,-0.0003772000000026,-0.0001971999999987,39.48,-21.889199999865383,-38.70918626831393,59.46602877432737,83.16913332426276,0.0628405931066854,237.61659,IP15,222.78386964308703,28.339515485077424,-53.72400000001676,-49.72088255358298,-39.48,83.16913332426276,0.9741804797238064
1017,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-80	-88	-84	-92	-84	-91	-76	-86,"[-127, -127, -80, -88, -84, -92, -84, -91, -76, -86]",-127,-127,-80,-88,-84,-92,-84,-91,-76,-86,359,30,905739,-1.631887,-5.353268,-122.397454,905539,1142767026,224029321,156733,0.480685,-0.034961,0.03406,-0.875534,905539,0.062932,0.048354,-0.003781,0.0474989414215087,114.2767026,22.4029321,156.733,-0.0003771000000085,-0.0001970999999976,39.49300000000001,-21.878099999735667,-38.69892399657646,59.46389683741922,83.18860971709252,0.0794533945215684,238.602546,IP15,222.78386353333744,28.342453656388724,-53.73510000014648,-49.73114482532045,-39.49300000000001,83.18860971709252,0.9707159836362452
1018,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-86	-93	-77	-88	-85	-87	-84	-90	-127	-127,"[-86, -93, -77, -88, -85, -87, -84, -90, -127, -127]",-86,-93,-77,-88,-85,-87,-84,-90,-127,-127,240,30,905739,-1.631887,-5.353268,-122.397454,905539,1142767026,224029321,156733,0.480685,-0.034961,0.03406,-0.875534,905539,0.062932,0.048354,-0.003781,0.043245792388916,114.2767026,22.4029321,156.733,-0.0003771000000085,-0.0001970999999976,39.49300000000001,-21.878099999735667,-38.69892399657646,59.46389683741922,83.18860971709252,0.0794533945215684,357.602546,IP15,222.78386353333744,28.342453656388724,-53.73510000014648,-49.73114482532045,-39.49300000000001,83.18860971709252,-0.2998862658827836
1019,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-86	-93	-77	-88	-85	-87	-84	-90	-77	-84,"[-86, -93, -77, -88, -85, -87, -84, -90, -77, -84]",-86,-93,-77,-88,-85,-87,-84,-90,-77,-84,241,30,905939,-1.804497,-5.953033,-122.468602,905739,1142767028,224029323,156742,0.479872,-0.03877,0.03794,-0.87566,905739,0.078476,0.052164,-0.001483,0.0444569587707519,114.2767028,22.4029323,156.742,-0.0003769000000062,-0.0001968999999988,39.502,-21.855899999870587,-38.67839945168747,59.44835534267235,83.21949238257753,0.0942431151915088,356.531398,IP15,222.7838513224253,28.338025161188632,-53.757300000011554,-49.75166937020944,-39.502,83.21949238257753,-0.2897412590120731
1020,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-86	-91	-78	-88	-88	-88	-84	-89	-77	-88,"[-86, -91, -78, -88, -88, -88, -84, -89, -77, -88]",-86,-91,-78,-88,-88,-88,-84,-89,-77,-88,241,30,905939,-1.804497,-5.953033,-122.468602,905739,1142767028,224029323,156742,0.479872,-0.03877,0.03794,-0.87566,905739,0.078476,0.052164,-0.001483,0.0382237434387207,114.2767028,22.4029323,156.742,-0.0003769000000062,-0.0001968999999988,39.502,-21.855899999870587,-38.67839945168747,59.44835534267235,83.21949238257753,0.0942431151915088,356.531398,IP15,222.7838513224253,28.338025161188632,-53.757300000011554,-49.75166937020944,-39.502,83.21949238257753,-0.2897412590120731
1021,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-78	-86	-87	-90	-83	-88	-77	-89,"[-127, -127, -78, -86, -87, -90, -83, -88, -77, -89]",-127,-127,-78,-86,-87,-90,-83,-88,-77,-89,358,30,906139,-1.982165,-5.965132,-122.520775,905939,1142767029,224029325,156748,0.479387,-0.04016,0.037304,-0.87589,905939,0.067319,0.046966,-0.021154,0.0385940074920654,114.2767029,22.4029325,156.748,-0.0003767999999979,-0.0001967,39.508,-21.833700000005507,-38.6681371507151,59.4375079423486,83.24281667437796,0.0847652324541141,239.479225,IP15,222.77794948207756,28.334059344493426,-53.77949999987664,-49.76193167118181,-39.508,83.24281667437796,0.9674217294191844
1022,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-85	-91	-76	-86	-86	-86	-83	-91	-76	-88,"[-85, -91, -76, -86, -86, -86, -83, -91, -76, -88]",-85,-91,-76,-86,-86,-86,-83,-91,-76,-88,241,30,906339,-1.707523,-5.669469,-122.678578,906139,1142767031,224029327,156749,0.478405,-0.036776,0.036248,-0.87662,906139,0.052889,0.047695,-0.064094,0.0428886413574218,114.2767031,22.4029327,156.749,-0.0003765999999956,-0.0001964999999977,39.509,-21.81149999974608,-38.647612605929474,59.416669154176944,83.2699042319574,0.0958128393379509,356.321422,IP15,222.77793971917023,28.324791533036095,-53.80170000013607,-49.78245621596744,-39.509,83.2699042319574,-0.2879438123557996
1023,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-85	-93	-77	-87	-86	-88	-84	-89	-76	-87,"[-85, -93, -77, -87, -86, -88, -84, -89, -76, -87]",-85,-93,-77,-87,-86,-88,-84,-89,-76,-87,241,30,906339,-1.707523,-5.669469,-122.678578,906139,1142767031,224029327,156749,0.478405,-0.036776,0.036248,-0.87662,906139,0.052889,0.047695,-0.064094,0.0440912246704101,114.2767031,22.4029327,156.749,-0.0003765999999956,-0.0001964999999977,39.509,-21.81149999974608,-38.647612605929474,59.416669154176944,83.2699042319574,0.0958128393379509,356.321422,IP15,222.77793971917023,28.324791533036095,-53.80170000013607,-49.78245621596744,-39.509,83.2699042319574,-0.2879438123557996
1024,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-86	-91	-78	-91	-127	-127	-85	-87	-76	-87,"[-86, -91, -78, -91, -127, -127, -85, -87, -76, -87]",-86,-91,-78,-91,-127,-127,-85,-87,-76,-87,240,30,906539,-1.965931,-5.657355,-122.659875,906539,1142767034,224029328,156702,0.478437,-0.038706,0.035067,-0.876568,906539,0.027822,0.067571,-0.13195,0.0445051193237304,114.2767034,22.4029328,156.702,-0.0003762999999992,-0.0001964,39.462,-21.80040000001071,-38.61682584515883,59.36131840277636,83.27320135365103,0.1508333723848936,357.340125,IP15,222.78970571837195,28.286838997354785,-53.81279999987143,-49.81324297673808,-39.462,83.27320135365103,-0.2980559150447848
